review,rating,date,bank,source,sentiment_label,sentiment_score,identified_themes
Best of all,5,2025-06-26,Commercial Bank of Ethiopia,Google Play Store,positive,0.9997443556785583,Other
excellent services,5,2025-06-26,Commercial Bank of Ethiopia,Google Play Store,positive,0.9998639822006226,Other
"I'll give 5 stars when the app has the function to see more than just a couple of transactions. Right now, you can not even go back one month and see prior transaction. That is a standard banking function that also CBE should have. Because of that only 1 Start.",1,2025-06-25,Commercial Bank of Ethiopia,Google Play Store,negative,0.988645076751709,Transaction Performance
good,5,2025-06-25,Commercial Bank of Ethiopia,Google Play Store,positive,0.9998161196708679,Other
best of all,5,2025-06-25,Commercial Bank of Ethiopia,Google Play Store,positive,0.9997443556785583,Other
"The most unreliable banking app i ever used, the transactions are stuck halfway and i can't access my money then when you call the call center they ask that you wait 3-5 business days before they return the money what is the point off having a banking app if the transactions are unreliable and incomplete I'd rate less if i could.",1,2025-06-25,Commercial Bank of Ethiopia,Google Play Store,negative,0.9996926784515381,Transaction Performance
for no reason my money is gone because the system keeps tell me failed than I tried to many times were my money is nowhere to be gone when I checked my balance I realise the money is gone,1,2025-06-25,Commercial Bank of Ethiopia,Google Play Store,negative,0.9997031092643738,Other
Although the UI is simple and easy to use. That does not mean anything if information is not consistent throughout the app and most services are down most of the time.,1,2025-06-24,Commercial Bank of Ethiopia,Google Play Store,negative,0.999237060546875,User Interface & Experience
we would appreciate it if the app can allow to take screensshot.,4,2025-06-24,Commercial Bank of Ethiopia,Google Play Store,negative,0.9175645112991333,Other
Easy to use and clear.,5,2025-06-24,Commercial Bank of Ethiopia,Google Play Store,positive,0.9994879961013794,User Interface & Experience
Easy to use,4,2025-06-23,Commercial Bank of Ethiopia,Google Play Store,positive,0.9988542795181274,User Interface & Experience
Very nice app,5,2025-06-23,Commercial Bank of Ethiopia,Google Play Store,positive,0.9998562335968018,Other
Excellence,5,2025-06-23,Commercial Bank of Ethiopia,Google Play Store,positive,0.9998365640640259,Other
the best 👌,5,2025-06-23,Commercial Bank of Ethiopia,Google Play Store,positive,0.9998503923416138,Other
super 🌟 start,5,2025-06-22,Commercial Bank of Ethiopia,Google Play Store,positive,0.9052259922027588,Other
my Ethiopia,5,2025-06-21,Commercial Bank of Ethiopia,Google Play Store,positive,0.9952309727668762,Other
😲,5,2025-06-21,Commercial Bank of Ethiopia,Google Play Store,negative,0.697056770324707,Other
It is so god,5,2025-06-21,Commercial Bank of Ethiopia,Google Play Store,positive,0.9943653345108032,Other
it's my life,5,2025-06-21,Commercial Bank of Ethiopia,Google Play Store,positive,0.9996814727783203,Other
👍,3,2025-06-20,Commercial Bank of Ethiopia,Google Play Store,negative,0.697056770324707,Other
good app,5,2025-06-20,Commercial Bank of Ethiopia,Google Play Store,positive,0.9998493194580078,Other
My special app and my proud bank of ETHIOPIA. nice to meet you my bank,5,2025-06-19,Commercial Bank of Ethiopia,Google Play Store,positive,0.9998167157173157,Other
great app,5,2025-06-19,Commercial Bank of Ethiopia,Google Play Store,positive,0.999821126461029,Other
SUFaa milikesaa,5,2025-06-19,Commercial Bank of Ethiopia,Google Play Store,negative,0.9896273612976074,Other
"Am not able to make screenshot,",1,2025-06-18,Commercial Bank of Ethiopia,Google Play Store,negative,0.999790370464325,Other
"Verily, it was very superior competitive to well known apps nowadays functioning in broader to its customers by simplest features that is Telebirr super app, Thus, CBE is my top ultimate choose that optimistically truly relaying to it, as far as concerned I am proudest when rating this by points, as a result of CBE service provisions via ethical principles and practices to customers satisfaction with texistence of constraints and challenges facing from burglary and froudalent hacker. Thank you !",5,2025-06-18,Commercial Bank of Ethiopia,Google Play Store,positive,0.9983299374580383,Feature Requests
thank you,5,2025-06-17,Commercial Bank of Ethiopia,Google Play Store,positive,0.9998352527618408,Other
ok,5,2025-06-17,Commercial Bank of Ethiopia,Google Play Store,positive,0.9997851252555847,Other
setting ላይ mini statment ብታዘጋጁለት ቴሌብር app ላይ አለ የብዙ ቀን transaction አያሳይም የናንተ ። tnx,4,2025-06-17,Commercial Bank of Ethiopia,Google Play Store,negative,0.9805399775505066,Transaction Performance
Is too good,5,2025-06-17,Commercial Bank of Ethiopia,Google Play Store,positive,0.9998205304145813,Other
ሰላም የምኖረው ውጭ ሀገር ነው የንግድ ባንክ አካውንት አለኝ እንዴት ላንቀሳቅሰው,5,2025-06-16,Commercial Bank of Ethiopia,Google Play Store,negative,0.944585382938385,Other
ይህን ባንክ መጠቀም ያስጠላኛል ገንዘቤን ደጋግመው ያዙኝ ብዬ አስባለሁ ይህም ተስፋ አስቆራጭ ስርቆት አስመስሎ መጣ ማለት በሳምንት ሶስት ጊዜ ገንዘቤን ሰረቁኝ ማለት ይጠየቅልኝ,5,2025-06-16,Commercial Bank of Ethiopia,Google Play Store,negative,0.9615163207054138,Other
"it makes my life easy, and I feel like it deserves a 4-star.",4,2025-06-16,Commercial Bank of Ethiopia,Google Play Store,positive,0.9993563294410706,User Interface & Experience
I'm commenting with another email again. It must prevent login for two step verification key without your real fingerprint. First I told you to add biometric security on this platform. Then you added it. perhaps it is not different from login password still. no number or any other characters to open two step verification key. The best way to protect our wallet which is invisible to anyone is only fingerprint. password can be cheated. login for two step verification should be only fingerprint.,3,2025-06-16,Commercial Bank of Ethiopia,Google Play Store,negative,0.9987354874610901,"Account Access Issues, Feature Requests"
It's best app but Please add(included) water bill payment ?,4,2025-06-16,Commercial Bank of Ethiopia,Google Play Store,negative,0.9143646359443665,"Transaction Performance, Feature Requests"
the system works even from wherever I am abroad CBE☆☆☆☆☆,5,2025-06-15,Commercial Bank of Ethiopia,Google Play Store,positive,0.9949033260345459,Other
very nice to use this app,5,2025-06-14,Commercial Bank of Ethiopia,Google Play Store,positive,0.9996718168258667,Other
good 👍,4,2025-06-14,Commercial Bank of Ethiopia,Google Play Store,positive,0.9998576641082764,Other
Good service and have lightly internet accessed,3,2025-06-14,Commercial Bank of Ethiopia,Google Play Store,negative,0.6808260679244995,Other
the best mobile banking ever in Ethiopia,5,2025-06-13,Commercial Bank of Ethiopia,Google Play Store,positive,0.9998283386230469,Other
waw,5,2025-06-13,Commercial Bank of Ethiopia,Google Play Store,negative,0.7346176505088806,Other
good app fast,5,2025-06-13,Commercial Bank of Ethiopia,Google Play Store,positive,0.9998340606689453,Transaction Performance
very good work cbe team well developed,5,2025-06-13,Commercial Bank of Ethiopia,Google Play Store,positive,0.9998407363891602,Other
Excellent and easy to access and uptodate.,5,2025-06-13,Commercial Bank of Ethiopia,Google Play Store,positive,0.9998615980148315,User Interface & Experience
Nice,5,2025-06-12,Commercial Bank of Ethiopia,Google Play Store,positive,0.9998552799224854,Other
Best mobile banking app in Ethiopian banking industry. Keep up CBE,5,2025-06-12,Commercial Bank of Ethiopia,Google Play Store,positive,0.9997265934944153,Other
it's very helpful app in any way in and out of the county of Ethiopia good luck,5,2025-06-12,Commercial Bank of Ethiopia,Google Play Store,positive,0.9995100498199463,Customer Support
So bad now and hard to use,5,2025-06-09,Commercial Bank of Ethiopia,Google Play Store,negative,0.999805748462677,Other
"it is so amazing app. but, it is better to update it to access without any internet fees. just make it to open by free internet service when we open data connection.",5,2025-06-09,Commercial Bank of Ethiopia,Google Play Store,positive,0.9496424794197083,Feature Requests
v.good app,4,2025-06-09,Commercial Bank of Ethiopia,Google Play Store,positive,0.9952701926231384,Other
very good app,1,2025-06-09,Commercial Bank of Ethiopia,Google Play Store,positive,0.9998675584793091,Other
Very amazing app indeed. I'm enjoying it,5,2025-06-08,Commercial Bank of Ethiopia,Google Play Store,positive,0.9998819828033447,Other
Best,5,2025-06-08,Commercial Bank of Ethiopia,Google Play Store,positive,0.9997941851615906,Other
A great app. It's like carrying a bank in your pocket.,4,2025-06-07,Commercial Bank of Ethiopia,Google Play Store,positive,0.9992928504943848,Other
More than garrantty bank EBC.,4,2025-06-07,Commercial Bank of Ethiopia,Google Play Store,positive,0.9971959590911865,Other
really am happy to this app it is Siple to use everything,5,2025-06-07,Commercial Bank of Ethiopia,Google Play Store,positive,0.9988697171211243,Other
I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07,Commercial Bank of Ethiopia,Google Play Store,negative,0.9996840953826904,User Interface & Experience
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,Commercial Bank of Ethiopia,Google Play Store,negative,0.9964652061462402,"Transaction Performance, Customer Support"
what is this app problem???,1,2025-06-05,Commercial Bank of Ethiopia,Google Play Store,negative,0.9996225833892822,Other
the app is proactive and a good connections.,5,2025-06-05,Commercial Bank of Ethiopia,Google Play Store,positive,0.9998679161071777,Other
I cannot send to cbebirr app. through this app.,3,2025-06-05,Commercial Bank of Ethiopia,Google Play Store,negative,0.9953354001045227,Other
not functional,1,2025-06-05,Commercial Bank of Ethiopia,Google Play Store,negative,0.999778687953949,Other
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,Commercial Bank of Ethiopia,Google Play Store,negative,0.9905162453651428,Account Access Issues
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,Commercial Bank of Ethiopia,Google Play Store,negative,0.9616847634315491,Other
best,5,2025-06-04,Commercial Bank of Ethiopia,Google Play Store,positive,0.9997941851615906,Other
Best Mobile Banking app ever,5,2025-06-04,Commercial Bank of Ethiopia,Google Play Store,positive,0.9997294545173645,Other
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,Commercial Bank of Ethiopia,Google Play Store,negative,0.9981192946434021,Transaction Performance
Good,5,2025-06-04,Commercial Bank of Ethiopia,Google Play Store,positive,0.9998161196708679,Other
